lane,concurrency,tasks,passed,errors,output_tokens,wall_s,aggregate_tok_s,request_tok_s,server_decode_tok_s,median_task_s,median_ttft_s,api_calls,mean_running,max_running
deployed,1,12,12,0,4090,154.1823616027832,26.527029145765592,27.46313331180579,36.53567750567524,8.828855037689209,1.1483299732208252,38,0.9477124183006536,1.0
deployed,2,12,12,0,7412,283.0177569389343,26.189169471791338,19.277655435946365,22.992777966317785,17.150890588760376,1.5188548564910889,39,1.2821428571428573,2.0
deployed,3,12,12,0,4218,101.99021983146667,41.356906642323324,14.867838844070626,19.270572043640488,19.492786169052124,1.7174534797668457,36,2.386138613861386,3.0
deployed,4,12,12,0,4047,93.93767523765564,43.08175595959106,12.321747286812037,16.693908958948057,22.147001147270203,2.1966729164123535,40,2.946236559139785,4.0
deployed,5,12,12,0,24013,970.0306904315948,24.75488686787417,19.689517374124048,21.782509989170823,22.56618571281433,2.5159032344818115,34,1.2048066875653083,5.0
deployed,6,12,12,0,6723,185.39077520370483,36.26394027757239,12.835122944792763,16.16525005315416,30.73468291759491,2.4374890327453613,43,2.472826086956522,6.0
deployed,7,12,12,0,4136,109.141934633255,37.89560826366167,10.253027408412466,13.787848339179266,29.234735131263733,2.478165030479431,34,3.0458715596330275,7.0
deployed,8,12,12,0,4764,112.8372688293457,42.22009314320644,9.563822341748493,12.844973436381693,39.919331073760986,3.0170599222183228,38,3.5575221238938055,8.0
deployed,9,12,12,0,11888,440.3972043991089,26.993813496660003,14.21455090767081,17.611445330168923,37.529356360435486,3.2477974891662598,38,1.6307339449541285,9.0
deployed,10,12,12,0,4518,99.79731774330139,45.27175782039751,8.459864090796223,12.46630993206277,42.78291368484497,2.8623132705688477,41,4.02,10.0
deployed,11,12,12,0,3766,89.54678535461426,42.05622775944733,7.948156096840614,12.757228104184112,31.95580291748047,3.0128936767578125,35,3.6333333333333333,10.0
deployed,12,12,11,0,3914,82.98020267486572,47.167877081909445,7.5809502451683235,12.505989178204768,42.08997917175293,2.9069433212280273,39,4.154761904761905,10.0
adaptive,1,12,12,0,4193,159.89621472358704,26.223259926749666,27.1005315970407,35.45138301762788,9.515652656555176,1.168097972869873,37,0.9367088607594937,1.0
adaptive,2,12,11,0,4534,141.49306201934814,32.043973996265684,18.718247742551128,24.443966041897824,12.7568199634552,1.5972347259521484,37,1.5714285714285714,2.0
adaptive,3,12,12,0,4326,123.06991195678711,35.150752374950635,13.478179000302493,16.97090470096038,18.885629177093506,1.704131007194519,38,2.319672131147541,3.0
adaptive,4,12,12,0,4568,120.18962383270264,38.00660867662258,13.43977856327006,17.40000048921376,21.145698189735413,2.3496395349502563,36,2.4166666666666665,4.0
adaptive,5,12,12,0,4597,119.21907782554626,38.55926487476113,11.671345981894282,15.505374967959268,26.733188271522522,2.5336251258850098,39,2.7815126050420167,5.0
adaptive,6,12,12,0,7938,265.952321767807,29.847455165029054,15.073737170409508,18.939430032798448,28.659224033355713,2.610293388366699,37,1.7186311787072244,6.0
adaptive,7,12,12,0,9091,301.1693024635315,30.185679369167534,14.003481936273944,17.595286986806613,37.44681978225708,2.8040329217910767,42,1.8724832214765101,7.0
adaptive,8,12,12,0,4050,99.65601682662964,40.6397940532355,9.090376709877846,12.75476447359619,33.893694043159485,2.901402235031128,37,3.51,8.0
adaptive,9,12,12,0,4499,114.72122645378113,39.21680528592114,9.676445737321927,13.590211332378262,31.04931354522705,2.78632390499115,34,3.121739130434783,9.0
